phase,pipeline,user,instance_id,groundtruth,final_prediction,final_score
phase1,vax1,P2,P2_117,Drinking/Eating,Drinking/Eating,2.6256988680391222
phase1,vax1,P2,P2_019,Chopping+Grating,Chopping+Grating,0.883718201978925
phase1,vax1,P2,P2_025,Chopping+Grating,Undetected,0.0
phase1,vax1,P2,P2_018,Chopping+Grating,Chopping+Grating,0.9515611087436904
phase1,vax1,P2,P2_009,Chopping+Grating,Chopping+Grating,0.9915670845242888
phase1,vax1,P2,P2_116,Drinking/Eating,Drinking/Eating,0.9702466931474594
phase1,vax1,P2,P2_012,WashingDishes,WashingDishes,0.803777452023663
phase1,vax1,P2,P2_071,Shaver In Use,Undetected,0.0
phase1,vax1,P2,P2_004,WashingDishes,Undetected,0.0
phase1,vax1,P2,P2_094,Walking,Walking,3.608632508099845
phase1,vax1,P2,P2_080,Walking,Walking,3.7732607035899903
phase1,vax1,P2,P2_067,HairBrush,Undetected,0.0
phase1,vax1,P2,P2_066,HairBrush,Undetected,0.0
phase1,vax1,P2,P2_076,HandWash,Undetected,0.0
phase1,vax1,P2,P2_081,Walking,Walking,3.956623963312683
phase1,vax1,P2,P2_072,Shaver In Use,Shaver In Use,2.7722864963067786
phase1,vax1,P2,P2_028,WashingDishes,Undetected,0.0
phase1,vax1,P2,P2_098,Exercising,Exercising,0.9687261627317028
phase1,vax1,P2,P2_112,Drinking/Eating,Undetected,0.0
phase1,vax1,P2,P2_092,Walking,Walking,3.4753923072271102
phase1,vax1,P2,P2_075,HairBrush,Undetected,0.0
phase1,vax1,P2,P2_024,Chopping+Grating,Chopping+Grating,0.9980030827002156
phase1,vax1,P2,P2_045,HairDryer,Undetected,0.0
phase1,vax1,P2,P2_093,Walking,Walking,3.4301191864749176
phase1,vax1,P2,P2_113,Drinking/Eating,Undetected,0.0
phase1,vax1,P2,P2_029,FridgeOpen,Undetected,0.0
phase1,vax1,P2,P2_073,ToilerFlushing,Undetected,0.0
phase1,vax1,P2,P2_003,Microwave,Microwave,0.9976752306706822
phase1,vax1,P2,P2_039,Baking,Undetected,0.0
phase1,vax1,P2,P2_070,ToilerFlushing,Undetected,0.0
phase1,vax1,P2,P2_038,Baking,Undetected,0.0
phase1,vax1,P2,P2_013,FridgeOpen,Undetected,0.0
phase1,vax1,P2,P2_115,Drinking/Eating,Drinking/Eating,2.9543431275435443
phase1,vax1,P2,P2_048,ToilerFlushing,ToilerFlushing,0.8523469223471027
phase1,vax1,P2,P2_114,Drinking/Eating,Drinking/Eating,0.9536099367177882
phase1,vax1,P2,P2_006,FridgeOpen,Undetected,0.0
phase1,vax1,P2,P2_011,Microwave,Microwave,0.9915971141684844
phase1,vax1,P2,P2_008,Blender,Blender,0.999311177854176
phase1,vax1,P2,P2_078,Coughing,Coughing,0.9996972311197764
phase1,vax1,P2,P2_063,ToilerFlushing,ToilerFlushing,2.6047343870655246
phase1,vax1,P2,P2_005,FridgeOpen,Undetected,0.0
phase1,vax1,P3,P3_036,Baking,Undetected,0.0
phase1,vax1,P3,P3_027,HandWash,HandWash,0.999833583466289
phase1,vax1,P3,P3_111,Coughing,Coughing,0.9999934690694104
phase1,vax1,P3,P3_104,Coughing,Coughing,0.999987480994256
phase1,vax1,P3,P3_110,Coughing,Coughing,0.9999987519184352
phase1,vax1,P3,P3_007,HairDryer,HairDryer,0.962394464580439
phase1,vax1,P3,P3_122,Drinking/Eating,Drinking/Eating,4.351074656960408
phase1,vax1,P3,P3_064,Chopping+Grating,Chopping+Grating,2.5372122082236737
phase1,vax1,P3,P3_061,Chopping+Grating,Chopping+Grating,0.8975689092298365
phase1,vax1,P3,P3_020,HairBrush,Undetected,0.0
phase1,vax1,P3,P3_060,Chopping+Grating,Chopping+Grating,0.842053284541471
phase1,vax1,P3,P3_009,HairBrush,Undetected,0.0
phase1,vax1,P3,P3_059,Chopping+Grating,Chopping+Grating,2.87681118044723
phase1,vax1,P3,P3_096,Drinking/Eating,Drinking/Eating,0.8719508308321194
phase1,vax1,P3,P3_056,WashingDishes,WashingDishes,0.9631062788384332
phase1,vax1,P3,P3_049,Chopping+Grating,Chopping+Grating,2.5898858214902263
phase1,vax1,P3,P3_025,HairBrush,Undetected,0.0
phase1,vax1,P3,P3_001,HairDryer,HairDryer,0.9679525399699817
phase1,vax1,P3,P3_065,Chopping+Grating,Chopping+Grating,0.9995577825166062
phase1,vax1,P3,P3_018,Shaver In Use,Shaver In Use,0.8463057009082328
phase1,vax1,P3,P3_035,CookingOnStove,Undetected,0.0
phase1,vax1,P3,P3_037,CookingOnStove,Undetected,0.0
phase1,vax1,P3,P3_022,HandWash,Undetected,0.0
phase1,vax1,P3,P3_091,Exercising,Exercising,3.94094986527164
phase1,vax1,P3,P3_090,Exercising,Exercising,5.038677052438276
phase1,vax1,P3,P3_040,Baking,Undetected,0.0
phase1,vax1,P3,P3_042,Baking,Undetected,0.0
phase1,vax1,P3,P3_092,Exercising,Exercising,3.947891754471986
phase1,vax1,P3,P3_023,ToilerFlushing,ToilerFlushing,0.8375962630571356
phase1,vax1,P3,P3_093,Exercising,Exercising,4.863910800914223
phase1,vax1,P3,P3_112,Walking,Walking,4.039895881362242
phase1,vax1,P3,P3_043,Baking,Undetected,0.0
phase1,vax1,P3,P3_048,Blender,Blender,0.8017415533801202
phase1,vax1,P3,P3_058,Blender,Blender,0.998865572628154
phase1,vax1,P3,P3_068,FridgeOpen,Undetected,0.0
phase1,vax1,P3,P3_055,Microwave,Undetected,0.0
phase1,vax1,P3,P3_088,Vacuum,Undetected,0.0
phase1,vax1,P3,P3_097,Drinking/Eating,Drinking/Eating,0.8779876464391344
phase1,vax1,P3,P3_054,Microwave,Undetected,0.0
phase1,vax1,P3,P3_069,FridgeOpen,Undetected,0.0
phase1,vax1,P3,P3_044,Baking,Undetected,0.0
phase1,vax1,P3,P3_057,FridgeOpen,FridgeOpen,2.512041578978055
phase1,vax1,P3,P3_041,CookingOnStove,Undetected,0.0
phase1,vax1,P3,P3_100,Walking,Walking,4.385213639216149
phase1,vax1,P3,P3_123,Drinking/Eating,Drinking/Eating,2.610385945426396
phase1,vax1,P3,P3_066,Blender,Blender,0.9974952970899976
phase1,vax1,P3,P3_045,Baking,Undetected,0.0
phase1,vax1,P3,P3_106,Drinking/Eating,Drinking/Eating,3.3046150502191702
phase1,vax1,P3,P3_029,ToilerFlushing,ToilerFlushing,0.945526653775617
phase1,vax1,P3,P3_086,Vacuum,Vacuum,0.9616602416758648
phase1,vax1,P3,P3_079,Vacuum,Vacuum,0.9012767711859272
phase1,vax1,P3,P3_078,Vacuum,Vacuum,0.9997724272353125
phase1,vax1,P3,P3_087,Vacuum,Vacuum,0.9389935373044628
phase1,vax1,P3,P3_000,ToilerFlushing,ToilerFlushing,0.8300428316275804
phase1,vax1,P3,P3_067,Microwave,Undetected,0.0
phase1,vax1,P3,P3_118,Walking,Walking,4.66965676348428
phase1,vax1,P3,P3_070,FridgeOpen,FridgeOpen,2.52327680656029
phase1,vax1,P3,P3_085,Vacuum,Vacuum,0.9995863798369672
phase1,vax1,P3,P3_084,Vacuum,Undetected,0.0
phase1,vax1,P3,P3_017,ToilerFlushing,Undetected,0.0
phase1,vax1,P3,P3_071,FridgeOpen,Undetected,0.0
phase1,vax1,P3,P3_114,Drinking/Eating,Undetected,0.0
phase1,vax1,P3,P3_128,Drinking/Eating,Drinking/Eating,0.8054408975617263
phase1,vax1,P3,P3_080,Vacuum,Vacuum,0.9882143986755636
phase1,vax1,P3,P3_081,Vacuum,Vacuum,0.8770653435894081
phase1,vax1,P3,P3_006,ToilerFlushing,ToilerFlushing,0.8117560179862545
phase1,vax1,P3,P3_046,Blender,Blender,0.9036197890995208
phase1,vax1,P3,P3_108,Walking,Walking,3.92077560788536
phase1,vax1,P3,P3_089,Exercising,Exercising,4.916185164706617
phase1,vax1,P3,P3_063,Microwave,CookingOnStove,0.8172449046847649
phase1,vax1,P3,P3_083,Vacuum,Vacuum,0.997661674537752
phase1,vax1,P3,P3_082,Vacuum,Vacuum,3.368224648532241
phase1,vax1,P3,P3_062,Microwave,Undetected,0.0
phase1,vax1,P3,P3_109,Walking,Walking,4.737359478738999
phase1,vax1,P3,P3_047,Blender,Blender,0.9828593635117469
phase1,vax1,P3,P3_075,WashingDishes,WashingDishes,0.8712732641861435
phase1,vax1,P3,P3_016,Shaver In Use,Shaver In Use,0.8328564554627891
phase1,vax1,P3,P3_002,HairBrush,Undetected,0.0
phase1,vax1,P3,P3_013,HandWash,Undetected,0.0
phase1,vax1,P3,P3_074,WashingDishes,WashingDishes,0.9388919870406396
phase1,vax1,P3,P3_076,WashingDishes,WashingDishes,0.9872678229867624
phase1,vax1,P3,P3_038,CookingOnStove,Chopping+Grating,0.8863864643643382
phase1,vax1,P3,P3_015,Shaver In Use,Shaver In Use,0.8442466108006258
phase1,vax1,P3,P3_129,Drinking/Eating,Drinking/Eating,3.172959614112675
phase1,vax1,P3,P3_051,Chopping+Grating,Chopping+Grating,2.770868258072976
phase1,vax1,P3,P3_024,HairDryer,HairDryer,0.9999310814335586
phase1,vax1,P3,P3_019,HairDryer,HairDryer,0.9992499706450484
phase1,vax1,P3,P3_004,HandWash,HandWash,0.9985209354532192
phase1,vax1,P3,P3_050,Chopping+Grating,Undetected,0.0
phase1,vax1,P3,P3_028,Shaver In Use,Shaver In Use,0.8360537018459676
phase1,vax1,P3,P3_039,CookingOnStove,CookingOnStove,3.0917004715514254
phase1,vax1,P3,P3_077,WashingDishes,WashingDishes,0.98205454484082
phase1,vax1,P3,P3_095,Coughing,Coughing,0.9997130509283418
phase1,vax1,P3,P3_073,WashingDishes,WashingDishes,0.8747988835061689
phase1,vax1,P3,P3_010,HairBrush,Undetected,0.0
phase1,vax1,P3,P3_014,HandWash,HandWash,0.910098943967976
phase1,vax1,P3,P3_008,HairDryer,HairDryer,0.9672152982067214
phase1,vax1,P3,P3_105,Drinking/Eating,Drinking/Eating,0.9370572785475122
phase1,vax1,P3,P3_005,Shaver In Use,Shaver In Use,0.8565883382282525
phase1,vax1,P3,P3_072,WashingDishes,WashingDishes,0.9539135470384074
phase1,vax1,P3,P3_094,Coughing,Coughing,0.9996045678290576
phase1,vax1,P3,P3_113,Drinking/Eating,Drinking/Eating,2.6219656793151285
phase1,vax1,P3,P3_052,Chopping+Grating,Chopping+Grating,3.123429589115985
phase1,vax1,P3,P3_053,Chopping+Grating,Chopping+Grating,0.9551671619844156
phase1,vax1,P10,P10_092,WashingDishes,WashingDishes,0.8457945954495382
phase1,vax1,P10,P10_143,HandWash,Undetected,0.0
phase1,vax1,P10,P10_005,Walking,Walking,3.421969439447778
phase1,vax1,P10,P10_065,Chopping+Grating,Chopping+Grating,0.999161106073587
phase1,vax1,P10,P10_026,Exercising,Exercising,3.766951091657224
phase1,vax1,P10,P10_004,Walking,Walking,3.4601097979171103
phase1,vax1,P10,P10_093,WashingDishes,WashingDishes,0.9847251190158736
phase1,vax1,P10,P10_059,Blender,Blender,0.9998604044268544
phase1,vax1,P10,P10_067,Blender,Blender,0.999945058952458
phase1,vax1,P10,P10_019,Exercising,Exercising,4.85175884436878
phase1,vax1,P10,P10_129,ToilerFlushing,ToilerFlushing,0.9999965674269652
phase1,vax1,P10,P10_018,Exercising,Exercising,4.089388316358166
phase1,vax1,P10,P10_024,Vacuum,Vacuum,0.8401146147584888
phase1,vax1,P10,P10_091,CookingOnStove,Undetected,0.0
phase1,vax1,P10,P10_094,WashingDishes,WashingDishes,0.964149226155797
phase1,vax1,P10,P10_085,CookingOnStove,Undetected,0.0
phase1,vax1,P10,P10_145,HandWash,HandWash,0.8868907555343895
phase1,vax1,P10,P10_017,Walking,Walking,3.346122285348397
phase1,vax1,P10,P10_003,Coughing,Undetected,0.0
phase1,vax1,P10,P10_138,ToilerFlushing,ToilerFlushing,0.999997023296269
phase1,vax1,P10,P10_002,Coughing,Undetected,0.0
phase1,vax1,P10,P10_062,Chopping+Grating,Chopping+Grating,0.9993577467221404
phase1,vax1,P10,P10_016,Walking,Walking,3.047788058720005
phase1,vax1,P10,P10_095,WashingDishes,WashingDishes,0.9874121195250566
phase1,vax1,P10,P10_090,CookingOnStove,Microwave,0.977441812112548
phase1,vax1,P10,P10_097,WashingDishes,WashingDishes,0.849162124202016
phase1,vax1,P10,P10_086,CookingOnStove,Undetected,0.0
phase1,vax1,P10,P10_108,WashingDishes,WashingDishes,0.9715904583098636
phase1,vax1,P10,P10_014,Coughing,Coughing,0.9960940705567828
phase1,vax1,P10,P10_015,Coughing,Undetected,0.0
phase1,vax1,P10,P10_061,Chopping+Grating,Undetected,0.0
phase1,vax1,P10,P10_109,WashingDishes,WashingDishes,0.9845906544115504
phase1,vax1,P10,P10_147,HandWash,Undetected,0.0
phase1,vax1,P10,P10_087,CookingOnStove,Microwave,0.8806584613112153
phase1,vax1,P10,P10_096,WashingDishes,Undetected,0.0
phase1,vax1,P10,P10_060,Blender,Blender,0.9876595757541428
phase1,vax1,P10,P10_134,HandWash,Undetected,0.0
phase1,vax1,P10,P10_148,ToilerFlushing,ToilerFlushing,0.9999897088419032
phase1,vax1,P10,P10_128,HairBrush,Undetected,0.0
phase1,vax1,P10,P10_063,Chopping+Grating,Chopping+Grating,0.9988475017290984
phase1,vax1,P10,P10_068,Microwave,Microwave,0.9984538656312256
phase1,vax1,P10,P10_078,Microwave,Microwave,0.9919291360174288
phase1,vax1,P10,P10_038,Drinking/Eating,Drinking/Eating,0.9141451004114898
phase1,vax1,P10,P10_139,HairBrush,HairBrush,3.235651232108093
phase1,vax1,P10,P10_066,Chopping+Grating,Chopping+Grating,0.9950483051512188
phase1,vax1,P10,P10_133,HandWash,Undetected,0.0
phase1,vax1,P10,P10_039,Drinking/Eating,Drinking/Eating,2.5803967413936757
phase1,vax1,P10,P10_069,FridgeOpen,Microwave,0.8164250158944959
phase1,vax1,P10,P10_064,Chopping+Grating,Chopping+Grating,0.9976408001761886
phase1,vax1,P10,P10_058,Chopping+Grating,Chopping+Grating,0.9978941137156422
phase1,vax1,P10,P10_077,Microwave,Microwave,0.9941790712002192
phase1,vax1,P10,P10_122,HairBrush,Undetected,0.0
phase1,vax1,P10,P10_081,Baking,Undetected,0.0
phase1,vax1,P10,P10_080,Baking,Undetected,0.0
phase1,vax1,P10,P10_071,FridgeOpen,Undetected,0.0
phase1,vax1,P10,P10_036,Drinking/Eating,Drinking/Eating,0.9866720287147838
phase1,vax1,P10,P10_074,Microwave,Microwave,0.9989789442068132
phase1,vax1,P10,P10_121,HairBrush,HairBrush,0.9717337682853232
phase1,vax1,P10,P10_082,Baking,Undetected,0.0
phase1,vax1,P10,P10_040,Drinking/Eating,Drinking/Eating,3.131963119193371
phase1,vax1,P10,P10_041,Drinking/Eating,Undetected,0.0
phase1,vax1,P10,P10_083,Baking,Undetected,0.0
phase1,vax1,P10,P10_072,FridgeOpen,Undetected,0.0
phase1,vax1,P10,P10_057,Chopping+Grating,Chopping+Grating,0.9985153025736976
phase1,vax1,P10,P10_035,Drinking/Eating,Drinking/Eating,0.9487532381544728
phase1,vax1,P10,P10_076,FridgeOpen,Undetected,0.0
phase1,vax1,P10,P10_079,Baking,Undetected,0.0
phase1,vax1,P10,P10_030,Drinking/Eating,Drinking/Eating,3.1335690067799016
phase1,vax1,P10,P10_127,HairBrush,Undetected,0.0
phase1,vax1,P10,P10_075,FridgeOpen,Undetected,0.0
phase1,vax1,P10,P10_084,Baking,Undetected,0.0
phase1,vax1,P10,P10_073,Microwave,Microwave,0.9994160972976056
phase1,vax1,P10,P10_104,WashingDishes,Undetected,0.0
phase1,vax1,P10,P10_110,WashingDishes,WashingDishes,0.9393657716258228
phase1,vax1,P10,P10_013,,Vacuum,0.9978084414610572
phase1,vax1,P10,P10_034,Drinking/Eating,Undetected,0.0
phase1,vax1,P10,P10_137,ToilerFlushing,Undetected,0.0
phase1,vax1,P10,P10_007,Exercising,Exercising,4.618553024568628
phase1,vax1,P10,P10_025,Coughing,Coughing,0.8527898439968987
phase1,vax1,P10,P10_006,Exercising,Exercising,4.811239543043036
phase1,vax1,P10,P10_136,ToilerFlushing,ToilerFlushing,0.9999984434693546
phase1,vax1,P10,P10_012,,Vacuum,0.9997221184590812
phase1,vax1,P10,P10_126,Shaver In Use,Undetected,0.0
phase1,vax1,P10,P10_111,WashingDishes,WashingDishes,0.969046230259576
phase1,vax1,P10,P10_105,WashingDishes,WashingDishes,0.8763591160256892
phase1,vax1,P10,P10_089,CookingOnStove,Microwave,0.8788470688418198
phase1,vax1,P10,P10_098,WashingDishes,WashingDishes,3.443681736844216
phase1,vax1,P10,P10_113,WashingDishes,Undetected,0.0
phase1,vax1,P10,P10_107,WashingDishes,Undetected,0.0
phase1,vax1,P10,P10_118,Shaver In Use,Shaver In Use,0.8415616142918945
phase1,vax1,P10,P10_027,Walking,Walking,2.940378347327071
phase1,vax1,P10,P10_120,ToilerFlushing,ToilerFlushing,0.9999964638551028
phase1,vax1,P10,P10_119,Shaver In Use,Shaver In Use,2.709952710803811
phase1,vax1,P10,P10_125,Shaver In Use,Shaver In Use,2.647205077988649
phase1,vax1,P10,P10_106,WashingDishes,Undetected,0.0
phase1,vax1,P10,P10_112,WashingDishes,Undetected,0.0
phase1,vax1,P10,P10_099,WashingDishes,WashingDishes,0.9006650762622459
phase1,vax1,P10,P10_088,CookingOnStove,Microwave,0.9488646031285892
phase1,vax1,P10,P10_053,Blender,Blender,0.9455145188414966
phase1,vax1,P10,P10_116,WashingDishes,WashingDishes,0.9311836844669856
phase1,vax1,P10,P10_102,WashingDishes,WashingDishes,0.985333488568394
phase1,vax1,P10,P10_001,Vacuum,Vacuum,0.8570102318781839
phase1,vax1,P10,P10_032,Drinking/Eating,Undetected,0.0
phase1,vax1,P10,P10_056,Chopping+Grating,Chopping+Grating,0.9994297841441484
phase1,vax1,P10,P10_000,Vacuum,Vacuum,0.9999999999982344
phase1,vax1,P10,P10_103,WashingDishes,Undetected,0.0
phase1,vax1,P10,P10_117,WashingDishes,Undetected,0.0
phase1,vax1,P10,P10_054,Blender,Blender,0.9914228926376611
phase1,vax1,P10,P10_101,WashingDishes,WashingDishes,0.9382084507071842
phase1,vax1,P10,P10_115,WashingDishes,WashingDishes,0.9679606385951592
phase1,vax1,P10,P10_055,Chopping+Grating,Chopping+Grating,0.9749018931995164
phase1,vax1,P10,P10_031,Drinking/Eating,Undetected,0.0
phase1,vax1,P10,P10_114,WashingDishes,WashingDishes,0.8061691440831156
phase1,vax1,P10,P10_100,WashingDishes,Undetected,0.0
phase15,vax1,PHU2,PHU2_0_0,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_0_1,FridgeOpen,Undetected,0.0
phase15,vax1,PHU2,PHU2_0_2,FridgeOpen,Undetected,0.0
phase15,vax1,PHU2,PHU2_0_3,FridgeOpen,Undetected,0.0
phase15,vax1,PHU2,PHU2_0_4,Microwave,Undetected,0.0
phase15,vax1,PHU2,PHU2_0_5,WashingDishes,Undetected,0.0
phase15,vax1,PHU2,PHU2_0_6,WashingDishes,CookingOnStove,0.9015453422146088
phase15,vax1,PHU2,PHU2_0_7,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_0_8,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_0_9,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_0_10,WashingDishes,Undetected,0.0
phase15,vax1,PHU2,PHU2_0_11,WashingDishes,Microwave,0.95772136700637
phase15,vax1,PHU2,PHU2_0_12,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_0_13,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_0_14,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_0_15,Microwave,Undetected,0.0
phase15,vax1,PHU2,PHU2_0_16,Microwave,Undetected,0.0
phase15,vax1,PHU2,PHU2_0_17,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_0_18,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_0_19,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_0_20,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_0_21,Microwave,Undetected,0.0
phase15,vax1,PHU2,PHU2_0_22,FridgeOpen,Undetected,0.0
phase15,vax1,PHU2,PHU2_0_23,FridgeOpen,Undetected,0.0
phase15,vax1,PHU2,PHU2_0_24,FridgeOpen,Undetected,0.0
phase15,vax1,PHU2,PHU2_0_25,FridgeOpen,Undetected,0.0
phase15,vax1,PHU2,PHU2_0_26,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_0_27,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_0_28,WashingDishes,Undetected,0.0
phase15,vax1,PHU2,PHU2_0_29,WashingDishes,Undetected,0.0
phase15,vax1,PHU2,PHU2_1_0,WashingDishes,Undetected,0.0
phase15,vax1,PHU2,PHU2_1_1,WashingDishes,WashingDishes,0.9880106241831886
phase15,vax1,PHU2,PHU2_1_2,WashingDishes,Undetected,0.0
phase15,vax1,PHU2,PHU2_1_3,WashingDishes,CookingOnStove,0.9138350011429696
phase15,vax1,PHU2,PHU2_1_4,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_1_5,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_1_6,Undetected,Microwave,0.9786385668943623
phase15,vax1,PHU2,PHU2_1_7,Undetected,Microwave,0.9868331980262772
phase15,vax1,PHU2,PHU2_1_8,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_1_9,Undetected,Microwave,0.9583954878572452
phase15,vax1,PHU2,PHU2_1_10,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_1_11,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_1_12,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_1_13,Undetected,Chopping+Grating,0.9826990416131128
phase15,vax1,PHU2,PHU2_1_14,Undetected,Chopping+Grating,0.9426422679896084
phase15,vax1,PHU2,PHU2_1_15,WashingDishes,WashingDishes,0.988928210565882
phase15,vax1,PHU2,PHU2_1_16,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_1_17,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_1_18,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_1_19,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_1_20,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_1_21,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_1_22,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_1_23,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_1_24,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_1_25,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_1_26,Chopping+Grating,Undetected,0.0
phase15,vax1,PHU2,PHU2_1_27,Chopping+Grating,Undetected,0.0
phase15,vax1,PHU2,PHU2_1_28,Chopping+Grating,Undetected,0.0
phase15,vax1,PHU2,PHU2_1_29,Chopping+Grating,Chopping+Grating,0.9034138249339302
phase15,vax1,PHU2,PHU2_2_0,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_2_1,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_2_2,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_2_3,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_2_4,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_2_5,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_2_6,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_2_7,Undetected,Undetected,0.0
phase15,vax1,PHU2,PHU2_2_8,Undetected,Undetected,0.0
